_id,designation,commonName,type,magnitude,size,distance,constellation,season,rightAscension,declination,catalog,otherCatalogs,imageResource,nightImageResource,logged,logDate,logTime,logLocation,telescope,eyepiece,seeing,transparency,favorite,findingMethod,viewingNotes
NULL,M84,NULL,Lenticular Galaxy,10.1,6.5' x 5.6',60 million ly,Virgo,Spring,12h 25m 03.7s,+12° 53' 13\",Messier,NGC 4374,M84.gif,M84.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M85,NULL,Lenticular Galaxy,10.0,7.1' x 5.5',60 million ly,Coma Berenices,Spring,12h 25m 24s,+18° 11' 28\",Messier,NGC 4382,M85.gif,M85.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M86,NULL,Lenticular Galaxy,9.8,8.9' x 5.8',52 million ly,Virgo,Spring,12h 26m 11.7s,+12° 56' 46\",Messier,NGC 4406,M86.gif,M86.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M87,Virgo A,Elliptical Galaxy,9.6,8.3' x 6.6',53.5 million ly,Virgo,Spring,12h 30m 49.42s,+12° 23' 28\",Messier,NGC 4486: Arp 152,M87.gif,M87.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M88,NULL,Spiral Galaxy,10.4,6.9' x 3.7',47 million ly,Coma Berenices,Spring,12h 31m 59.2s,+14° 25' 14\",Messier,NGC 4501,M88.gif,M88.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M89,NULL,Elliptical Galaxy,10.7,5.1' x 4.7',50 million ly,Virgo,Spring,12h 35m 39.8s,+12° 33' 23\",Messier,NGC 4552,M89.gif,M89.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M90,NULL,Spiral Galaxy,10.3,9.5' x 4.4',58.7 million ly,Virgo,Spring,12h 36m 49.8s,+13° 09' 46\",Messier,NGC 4569: Arp 76,M90.gif,M90.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M91,NULL,Barred Spiral Galaxy,11.0,5.4' x 4.3',63 million ly,Coma Berenices,Spring,12h 35m 26.4s,+14° 29' 47\",Messier,NGC 4548,M91.gif,M91.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M92,NULL,Globular Cluster,6.3,14' x 14',26:700 ly,Hercules,Summer,17h 17m 07.27s,+43° 08' 11.5\",Messier,NGC 6341: GCI 59,M92.gif,M92.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M93,NULL,Open Cluster,6.0,22' x 22',3:600 ly,Puppis,Winter,07h 44m 36s,-23° 52' 00\",Messier,NGC 2447,M93.gif,M93.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
