_id,designation,commonName,type,magnitude,size,distance,constellation,season,rightAscension,declination,catalog,otherCatalogs,imageResource,nightImageResource,logged,logDate,logTime,logLocation,telescope,eyepiece,seeing,transparency,favorite,findingMethod,viewingNotes
NULL,M40,Winnecke 4,Double Star,9.7,0.8' x .08',510 ly,Ursa Major,Spring,12h 22m 12.5s,+58° 04' 59\",Messier,NULL,M40.gif,M40.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M41,NULL,Open Cluster,4.5,38' x 38',2:300 ly,Canis Major,Winter,06h 46m 00s,-20° 46' 00\",Messier,NGC 2287,M41.gif,M41.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M42,Orion Nebula,Reflection/Emission Nebula,4.0,65' x 60',1:344 ly,Orion,Winter,05h 35m 17.3s,-05° 23' 28\",Messier,NGC 1976: Sharpless 281,M42.gif,M42.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M43,De Mairan's Nebula,Reflection/Emission Nebula,9.0,20' x 15',1:600 ly,Orion,Winter,05h 35m 36s,-05° 16' 00\",Messier,NGC 1982,M43.gif,M43.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M44,Beehive Cluster,Open Cluster,3.7,95' x 95',577 ly,Cancer,Spring,08h 40m 24s,+19° 41' 00\",Messier,NGC 2632,M44.gif,M44.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M45,Pleiades: Seven Sisters,Open Cluster,1.6,110' x 110',391 ly,Taurus,Winter,03h 47m 24s,+24° 07' 00\",Messier,NULL,M45.gif,M45.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M46,NULL,Open Cluster,6.1,27' x 27',5:400 ly,Puppis,Winter,07h 41m 48s,-14° 49' 00\",Messier,NGC 2437,M46.gif,M46.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M47,NULL,Open Cluster,4.2,30' x 30',1:600 ly,Puppis,Winter,07h 36m 36s,-14° 30' 00\",Messier,NGC 2422,M47.gif,M47.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M48,NULL,Open Cluster,5.5,54' x 54',1:500 ly,Hydra,Spring,08h 13m 42s,-05° 45' 00\",Messier,NGC 2548,M48.gif,M48.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M49,NULL,Elliptical Galaxy,9.4,10.2' x 8.3',55.9 million ly,Virgo,Spring,12h 29m 46.7s,+08° 00' 02\",Messier,NGC 4472: UGC 7629: Arp 134,M49.gif,M49.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M50,NULL,Open Cluster,5.9,16' x 16',3:200 ly,Monoceros,Winter,07h 03m 12s,-08° 20' 00\",Messier,NGC 2323,M50.gif,M50.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M51,Whirlpool Galaxy,Spiral Galaxy,8.4,11.2' x 6.9',23 million ly,Canes Venatici,Spring,13h 29m 52.7s,+47° 11' 43\",Messier,NGC 5194: NGC 5195: UGC 8493: Arp 85,M51.gif,M51.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M52,NULL,Open Cluster,5.0,13' x 13',5:000 ly,Cassiopeia,Winter,23h 24m 12s,+61° 35' 00\",Messier,NGC 7654,M52.gif,M52.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M53,NULL,Globular Cluster,8.3,13' x 13',58:000 ly,Coma Berenices,Spring,13h 12m 55.3s,+18° 10' 09\",Messier,NGC 5024,M53.gif,M53.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M54,NULL,Globular Cluster,8.4,12' x 12',87:400 ly,Sagittarius,Summer,18h 55m 03.28s,-30° 28' 42.6\",Messier,NGC 6715,M54.gif,M54.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M55,NULL,Globular Cluster,7.4,19' x 19',17:600 ly,Sagittarius,Summer,19h 39m 59.71s,-30° 57' 53.1\",Messier,NGC 6809,M55.gif,M55.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M56,NULL,Globular Cluster,8.3,8.8' x 8.8',32:900 ly,Lyra,Fall,19h 16m 35.50s,+30° 11' 04.2\",Messier,NGC 6779,M56.gif,M56.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M57,Ring Nebula,Planetary Nebula,8.8,3.8' x 3.8',2:300 ly,Lyra,Fall,18h 53m 35.079s,+33° 01' 45.03\",Messier,NGC 6720,M57.gif,M57.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M58,NULL,Barred Spiral Galaxy,10.5,5.9' x 4.7',62 million ly,Virgo,Spring,12h 37m 43.5s,+11° 49' 05\",Messier,NGC 4579,M58.gif,M58.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M59,NULL,Elliptical Galaxy,10.6,5.4' x 3.7',60 million ly,Virgo,Spring,12h 42m02.3 s,+11° 38' 49\",Messier,NGC 4621,M59.gif,M59.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M60,NULL,Elliptical Galaxy,9.8,7.4' x 6',55 million ly,Virgo,Spring,12h 43m 39.6s,+11° 33' 09\",Messier,NGC 4649: Arp 116,M60.gif,M60.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M61,NULL,Spiral Galaxy,10.2,6.5' x 5.8',52.5 million ly,Virgo,Spring,12h 21m 54.9s,+04° 28' 25\",Messier,NGC 4303,M61.gif,M61.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
NULL,M62,NULL,Globular Cluster,7.4,15' x 15',22:500 ly,Ophiuchus,Summer,17h 01m 12.6s,-30° 06' 44.5\",Messier,NGC 6266: GCI 51,M62.gif,M62.gif,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL,NULL
